k-nucleotide ; 476.215942382812500000, 444.899353027343750000,  ,  ,  19290.6 
k-nucleotide ; 481.538879394531250000, 449.584594726562500000,  ,  ,  19795.7 
k-nucleotide ; 482.638366699218750000, 450.542297363281250000,  ,  ,  19891.3 
k-nucleotide ; 474.262512207031250000, 443.553710937500000000,  ,  ,  18911 
k-nucleotide ; 481.167663574218750000, 449.772644042968750000,  ,  ,  19365.2 
k-nucleotide ; 475.381042480468750000, 444.453674316406250000,  ,  ,  19034.5 
k-nucleotide ; 486.435180664062500000, 454.392028808593750000,  ,  ,  19838.7 
k-nucleotide ; 478.402648925781250000, 447.899230957031250000,  ,  ,  18722.3 
k-nucleotide ; 476.571105957031250000, 445.148132324218750000,  ,  ,  19424 
k-nucleotide ; 473.230529785156250000, 442.661499023437500000,  ,  ,  18800.9 
pidigits ; 9.942565917968750000, 8.842102050781250000,  ,  ,  763.596 
pidigits ; 9.905944824218750000, 8.803039550781250000,  ,  ,  764.057 
pidigits ; 10.141479492187500000, 9.038391113281250000,  ,  ,  767.057 
pidigits ; 9.846496582031250000, 8.743408203125000000,  ,  ,  765.499 
pidigits ; 9.976623535156250000, 8.902893066406250000,  ,  ,  765.907 
pidigits ; 9.900146484375000000, 8.790527343750000000,  ,  ,  765.375 
pidigits ; 9.966125488281250000, 8.873168945312500000,  ,  ,  764.513 
pidigits ; 9.931518554687500000, 8.828918457031250000,  ,  ,  769.037 
pidigits ; 10.032836914062500000, 8.944091796875000000,  ,  ,  767.867 
pidigits ; 9.774353027343750000, 8.674926757812500000,  ,  ,  759.608 
mandelbrot ; 1501.981201171875000000, 1428.889465332031250000,  ,  ,  50797 
mandelbrot ; 1499.853881835937500000, 1426.836547851562500000,  ,  ,  50715 
mandelbrot ; 1500.748962402343750000, 1427.614074707031250000,  ,  ,  50777.8 
mandelbrot ; 1493.351623535156250000, 1420.267150878906250000,  ,  ,  50732.3 
mandelbrot ; 1495.652465820312500000, 1422.528625488281250000,  ,  ,  50766.8 
mandelbrot ; 1493.197143554687500000, 1420.091552734375000000,  ,  ,  50770.8 
