k-nucleotide ; 0.023376464843750000, 0.020263671875000000,  ,  ,  2.033 
k-nucleotide ; 0.023620605468750000, 0.018615722656250000,  ,  ,  1.861 
k-nucleotide ; 0.022766113281250000, 0.017272949218750000,  ,  ,  1.933 
k-nucleotide ; 0.010253906250000000, 0.018432617187500000,  ,  ,  1.947 
k-nucleotide ; 0.010742187500000000, 0.018859863281250000,  ,  ,  1.865 
k-nucleotide ; 0.023132324218750000, 0.019958496093750000,  ,  ,  1.936 
k-nucleotide ; 0.023864746093750000, 0.018737792968750000,  ,  ,  2.008 
k-nucleotide ; 0.021911621093750000, 0.018249511718750000,  ,  ,  1.998 
k-nucleotide ; 0.022216796875000000, 0.017517089843750000,  ,  ,  1.895 
k-nucleotide ; 0.024108886718750000, 0.021057128906250000,  ,  ,  2.021 
mandelbrot ; 0.023620605468750000, 0.014892578125000000,  ,  ,  1.575 
mandelbrot ; 0.011474609375000000, 0.013122558593750000,  ,  ,  1.455 
mandelbrot ; 0.022888183593750000, 0.013610839843750000,  ,  ,  1.473 
mandelbrot ; 0.010192871093750000, 0.013488769531250000,  ,  ,  1.483 
mandelbrot ; 0.023498535156250000, 0.013305664062500000,  ,  ,  1.41 
mandelbrot ; 0.010437011718750000, 0.014770507812500000,  ,  ,  1.631 
mandelbrot ; 0.025085449218750000, 0.015441894531250000,  ,  ,  1.391 
mandelbrot ; 0.012084960937500000, 0.016784667968750000,  ,  ,  1.615 
mandelbrot ; 0.032165527343750000, 0.018554687500000000,  ,  ,  1.697 
mandelbrot ; 0.034118652343750000, 0.018859863281250000,  ,  ,  1.69 
n-body ; 0.023498535156250000, 0.014709472656250000,  ,  ,  1.596 
n-body ; 0.011474609375000000, 0.015441894531250000,  ,  ,  1.596 
n-body ; 0.022766113281250000, 0.011596679687500000,  ,  ,  1.372 
n-body ; 0.012023925781250000, 0.015014648437500000,  ,  ,  1.458 
n-body ; 0.023010253906250000, 0.014526367187500000,  ,  ,  1.447 
n-body ; 0.012145996093750000, 0.013183593750000000,  ,  ,  1.236 
n-body ; 0.012268066406250000, 0.014282226562500000,  ,  ,  1.451 
n-body ; 0.022155761718750000, 0.012756347656250000,  ,  ,  1.389 
n-body ; 0.011535644531250000, 0.012390136718750000,  ,  ,  1.226 
n-body ; 0.012634277343750000, 0.015014648437500000,  ,  ,  1.455 
fannkuch-redux ; 0.021911621093750000, 0.014282226562500000,  ,  ,  1.606 
fannkuch-redux ; 0.011474609375000000, 0.012939453125000000,  ,  ,  1.289 
fannkuch-redux ; 0.011840820312500000, 0.013610839843750000,  ,  ,  1.249 
fannkuch-redux ; 0.024719238281250000, 0.014709472656250000,  ,  ,  1.417 
fannkuch-redux ; 0.012207031250000000, 0.012329101562500000,  ,  ,  1.227 
fannkuch-redux ; 0.011779785156250000, 0.013732910156250000,  ,  ,  1.316 
fannkuch-redux ; 0.024230957031250000, 0.013671875000000000,  ,  ,  1.319 
fannkuch-redux ; 0.010864257812500000, 0.013549804687500000,  ,  ,  1.315 
fannkuch-redux ; 0.011779785156250000, 0.014709472656250000,  ,  ,  1.498 
fannkuch-redux ; 0.022521972656250000, 0.014282226562500000,  ,  ,  1.496 
spectral-norm ; 0.023742675781250000, 0.015563964843750000,  ,  ,  1.526 
spectral-norm ; 0.012145996093750000, 0.013122558593750000,  ,  ,  1.352 
spectral-norm ; 0.012207031250000000, 0.012756347656250000,  ,  ,  1.252 
spectral-norm ; 0.024536132812500000, 0.014038085937500000,  ,  ,  1.303 
spectral-norm ; 0.012145996093750000, 0.013305664062500000,  ,  ,  1.316 
spectral-norm ; 0.011901855468750000, 0.012634277343750000,  ,  ,  1.207 
spectral-norm ; 0.025146484375000000, 0.013122558593750000,  ,  ,  1.244 
spectral-norm ; 0.012023925781250000, 0.013427734375000000,  ,  ,  1.289 
spectral-norm ; 0.011718750000000000, 0.014099121093750000,  ,  ,  1.319 
spectral-norm ; 0.012573242187500000, 0.012390136718750000,  ,  ,  1.203 
fasta ; 0.011840820312500000, 0.016784667968750000,  ,  ,  1.598 
fasta ; 0.011047363281250000, 0.013916015625000000,  ,  ,  1.442 
fasta ; 0.012023925781250000, 0.013793945312500000,  ,  ,  1.438 
fasta ; 0.010192871093750000, 0.012573242187500000,  ,  ,  1.493 
fasta ; 0.013000488281250000, 0.015319824218750000,  ,  ,  1.372 
fasta ; 0.024414062500000000, 0.013549804687500000,  ,  ,  1.365 
